asset,rsi_period,rsi_threshold,ma_period,hold_days,train_trades,train_wr,train_avg,train_sharpe,train_pl,train_recovery,val_trades,val_wr,val_avg,val_sharpe,val_pl,val_recovery,wr_overfit_diff,ret_overfit_diff,score
2330,12,40,60,5,19,52.63157894736842,0.6896346391753462,1.0729269759137094,1.3238115071769982,0.9320892048857166,6,50.0,0.6938204315922917,1.4197968300053645,1.60936304481377,1.4536547808333826,2.6315789473684177,0.0041857924169455,37.06424043820053
006208,10,40,30,10,25,64.0,1.2445174004581898,3.901489506088991,1.3134782489290517,2.517820731291032,9,44.44444444444444,1.451000068665393,3.95724354424041,2.8191989232859647,3.6630711035250036,19.555555555555557,0.20648266820720318,27.660984075610262
0050,12,45,30,7,36,61.111111111111114,1.0077406349697238,3.663313031113638,1.5613271373344666,3.7639230193809614,14,42.857142857142854,1.3396916162817962,3.1235329877284594,2.791094702489395,1.803829085656561,18.25396825396826,0.33195098131207246,22.30284557803147
2330,12,45,60,5,32,46.875,0.42920590801387165,0.1300681770644263,1.4779988155043007,0.7816008414599733,14,42.857142857142854,0.7352983385914655,1.3362992090398456,2.101377621773777,1.599012574033201,4.017857142857146,0.3060924305775939,20.553070838134932
006208,12,35,30,7,13,61.53846153846154,1.1972478361948253,4.569012316070103,1.7439962496384707,4.627637701408758,5,40.0,1.2220082779579429,3.3334256684794474,3.275416956434613,2.290862425022991,21.53846153846154,0.024760441763117536,18.853512647248163
0050,10,45,30,7,33,51.515151515151516,0.5178443375553243,0.6441330575056857,1.3991075366276045,1.194669189923353,18,44.44444444444444,1.1442805229471935,2.705519382196725,2.5182061981989,2.2426258483645403,7.070707070707073,0.6264361853918692,18.385495412043607
006208,10,40,30,7,25,64.0,0.961456953948362,3.017703873481074,1.1532626054083364,1.9451525948965147,9,44.44444444444444,1.1635068331812248,3.1005495970776478,2.508286411759552,2.9372901844864554,19.555555555555557,0.20204987923286288,18.044213476799218
0050,12,45,120,7,30,63.33333333333333,0.7924546278330293,1.9006415551068343,1.0380469232908316,1.2412557371640878,14,50.0,1.6922082704408858,4.491827503118035,2.7731599089950034,4.337032144613525,13.333333333333329,0.8997536426078565,18.031215287816565
0050,10,40,30,7,24,62.5,0.9183606875272492,2.684330994200629,1.162501056014266,1.685835224047697,9,44.44444444444444,1.1494902046996702,3.21224609577885,2.562132789431465,3.1367297811210335,18.055555555555557,0.23112951717242103,17.611278747326622
0050,10,40,30,10,24,66.66666666666666,1.2032308288029265,3.5905256616955534,1.10670878585272,2.208771500572198,9,44.44444444444444,1.6212549361651647,4.55097615242245,3.100648011677258,4.424081754039336,22.222222222222214,0.41802410736223816,17.126457787185736
