symbol,name,tier,score,inst,tech,trend,rsi,bias,atr,f_days,t_days,ma20,ma60,price,today_chg,can_trade,ma20_above
3231,緯創,1,44.2,60,40,25,66.7,5.4,3.43,4,3,132.0,132.0,140.0,-3.12,True,True
2379,瑞昱,1,44.2,60,40,25,71.2,5.5,2.91,10,0,514.0,494.0,542.0,-4.41,True,True
3017,奇鋐,1,39.0,60,25,25,79.4,17.2,5.36,0,8,2287.0,1863.0,2680.0,-0.56,True,True
2385,群電,1,38.0,40,45,25,68.8,2.1,2.1,2,3,123.0,122.0,126.0,0.8,True,True
4938,和碩,1,38.0,40,45,25,71.0,4.9,2.3,0,3,80.0,75.0,84.0,-0.83,True,True
6213,聯茂,1,37.2,60,20,25,80.7,30.3,7.51,5,5,211.0,154.0,274.0,-7.58,True,True
2353,宏碁,1,36.8,40,45,20,51.8,-0.3,2.26,0,3,28.0,27.0,27.0,-3.0,True,True
2891,中信金,3,36.8,40,45,20,44.3,-1.4,2.6,3,0,53.0,52.0,53.0,-1.5,True,True
