Date,Close,High,Low,Open,Volume,Foreign_Net,Trust_Net,F_Consec,T_Consec,MA20,MA60,Bias,RSI,ATR_Percent,Foreign_Score,Trust_Score,Base_Inst_Score,Final_Inst_Score,RSI_Score,Bias_Score,Total_Score,Signal
2026-01-02,1579.8455810546875,1579.8455810546875,1539.9756610280708,1549.943141034725,37512761,-3036217,712435,0,1,1579.8455810546875,1579.8455810546875,0.0,50.0,0.005,0,10,10,10,15,15,40,觀望
2026-01-05,1664.569091796875,1689.48779077587,1619.7154336346837,1624.699173430483,66871820,-3522824,3436638,0,2,1622.2073364257812,1622.2073364257812,2.6113650468644565,50.0,0.005,0,15,15,15,15,15,45,觀望
2026-01-06,1699.455322265625,1699.455322265625,1639.6504428897083,1639.6504428897083,46751692,-8126762,956707,0,3,1647.9566650390625,1647.9566650390625,3.1250006944413067,50.0,0.005,0,40,40,40,15,10,65,觀望
2026-01-07,1669.5528564453125,1679.5203361852846,1659.5853767053404,1659.5853767053404,49857449,-26411438,943945,0,4,1653.355712890625,1653.355712890625,0.9796526802069359,79.99998367085672,0.005,0,50,50,50,5,15,70,觀望
2026-01-08,1679.5203857421875,1694.471605793305,1649.6179456399527,1654.6016856569918,29215618,-4376084,566782,0,5,1658.5886474609374,1658.5886474609374,1.262021075164936,81.24999043214554,0.005,0,50,50,50,5,15,70,觀望
2026-01-09,1674.53662109375,1694.4715808686756,1649.6179213750931,1659.585401262556,37387656,-10781928,-333398,0,0,1661.2466430664062,1661.2466430664062,0.800000293924597,78.7878585451482,0.005,0,0,0,0,5,15,20,不進場
2026-01-12,1684.5040283203125,1699.4552475065875,1684.5040283203125,1694.4715077778292,29987449,-10067382,19943,0,1,1664.569126674107,1664.569126674107,1.1976013087564785,79.99997200718296,0.005,0,10,10,10,5,15,30,不進場
2026-01-13,1704.4390869140625,1714.4065669544957,1694.4716068736295,1714.4065669544957,30171800,-2964833,-135174,0,0,1669.5528717041016,1669.5528717041016,2.0895543831656442,82.05126594759855,0.005,0,0,0,0,5,15,20,不進場
2026-01-14,1704.4390869140625,1709.422826934279,1694.4716068736295,1699.455346893846,29100816,-4902881,1058165,0,1,1673.4291178385417,1673.4291178385417,1.85307932944147,82.05126594759855,0.005,0,10,10,10,5,15,30,不進場
2026-01-15,1684.5040283203125,1694.4715077778292,1674.536548862796,1679.5202885915542,36391886,-9178378,1281126,0,2,1674.5366088867188,1674.5366088867188,0.5952344893922825,74.41855961138194,0.005,0,15,15,15,5,15,35,不進場
2026-01-16,1734.3414306640625,1744.3089101506375,1704.4389922043372,1729.357690920775,53551629,8972644,208220,1,3,1679.9734108664773,1679.9734108664773,3.2362428741978686,79.24524290815049,0.005,10,40,40,40,5,10,55,觀望
