symbol,rsi_period,rsi_threshold,hold_days,tp_pct,sl_pct,train_n,train_wr,train_avg,train_sharpe,train_pl,train_stability,val_n,val_wr,val_avg,val_sharpe,val_pl,val_recovery,val_bull_wr,val_bull_avg,val_range_wr,wr_diff,ret_diff,score
2379,12,40,10,10,8,21,76.19047619047619,1.9251264794040825,10.115326293652174,1.6697098834151998,3.014973563571027,11,72.72727272727273,1.9985661216447765,5.0780441242337,0.8603099923928906,1.8683427594934572,72.72727272727273,1.9985661216447765,0,3.463203463203456,0.07343964224069399,80.3216207559205
2379,12,40,10,10,10,21,76.19047619047619,1.9251264794040825,10.115326293652174,1.6697098834151998,3.014973563571027,11,72.72727272727273,1.9985661216447765,5.0780441242337,0.8603099923928906,1.8683427594934572,72.72727272727273,1.9985661216447765,0,3.463203463203456,0.07343964224069399,80.3216207559205
2379,12,45,10,10,10,30,73.33333333333333,1.5432218366615744,5.361309801865198,0.87519876902197,4.557634982841216,14,71.42857142857143,1.7498018052890572,4.521686621809743,0.8067240175918339,2.0819113978656945,71.42857142857143,1.7498018052890572,0,1.904761904761898,0.20657996862748274,77.18468661978179
2379,12,45,10,20,10,30,73.33333333333333,1.5432221084617885,5.361310570779984,0.8751988359323014,4.557635133972492,14,71.42857142857143,1.5602897304046297,4.233604153115026,0.7626738215946787,1.8564302333460994,71.42857142857143,1.5602897304046297,0,1.904761904761898,0.01706762194284117,75.97873441969526
2379,12,45,10,15,10,30,73.33333333333333,1.5432218366615744,5.361309801865198,0.87519876902197,4.557634982841216,14,71.42857142857143,1.5602897304046297,4.233604153115026,0.7626738215946787,1.8564302333460994,71.42857142857143,1.5602897304046297,0,1.904761904761898,0.017067893743055285,75.97873170169312
2379,12,40,10,15,8,21,76.19047619047619,1.9251264794040825,10.115326293652174,1.6697098834151998,3.014973563571027,11,72.72727272727273,1.7573689354282322,4.737676796513802,0.8017402991812377,1.6428615949738616,72.72727272727273,1.7573689354282322,0,3.463203463203456,0.1677575439758503,75.68191999531172
2379,12,40,10,15,10,21,76.19047619047619,1.9251264794040825,10.115326293652174,1.6697098834151998,3.014973563571027,11,72.72727272727273,1.7573689354282322,4.737676796513802,0.8017402991812377,1.6428615949738616,72.72727272727273,1.7573689354282322,0,3.463203463203456,0.1677575439758503,75.68191999531172
2379,12,40,10,20,8,21,76.19047619047619,1.9251264794040825,10.115326293652174,1.6697098834151998,3.014973563571027,11,72.72727272727273,1.7573689354282322,4.737676796513802,0.8017402991812377,1.6428615949738616,72.72727272727273,1.7573689354282322,0,3.463203463203456,0.1677575439758503,75.68191999531172
2379,12,40,10,20,10,21,76.19047619047619,1.9251264794040825,10.115326293652174,1.6697098834151998,3.014973563571027,11,72.72727272727273,1.7573689354282322,4.737676796513802,0.8017402991812377,1.6428615949738616,72.72727272727273,1.7573689354282322,0,3.463203463203456,0.1677575439758503,75.68191999531172
2379,12,45,10,10,8,30,73.33333333333333,1.5432218366615744,5.361309801865198,0.87519876902197,4.557634982841216,14,71.42857142857143,1.678388514427321,4.261884910336822,0.7745802745998829,1.9334087900012935,71.42857142857143,1.678388514427321,0,1.904761904761898,0.13516667776574653,75.14008369871019
