ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_reason,name
2330.TW,2022-08-09,2022-09-23,476.1926574707031,427.2864990234375,-10.270246229127228,SL,台積電
2330.TW,2022-12-15,2023-01-30,453.8307800292969,512.86181640625,13.007279138965055,TP,台積電
2330.TW,2023-03-07,2023-04-21,494.91650390625,485.2491149902344,-1.9533373487675971,HOLD,台積電
2330.TW,2023-07-04,2023-08-18,558.1212768554688,514.2348022460938,-7.8632505925302425,HOLD,台積電
2330.TW,2023-09-15,2023-10-30,535.330322265625,510.3866882324219,-4.659484620194252,HOLD,台積電
2330.TW,2023-11-02,2023-11-15,524.7772216796875,557.3959350585938,6.215725841625039,TP,台積電
2330.TW,2024-03-26,2024-05-10,757.672607421875,777.0504760742188,2.5575517001044332,HOLD,台積電
2330.TW,2024-06-07,2024-06-18,851.6550903320312,917.1953735351562,7.695636877785006,TP,台積電
2330.TW,2024-08-09,2024-09-23,908.4417114257812,954.502685546875,5.0703279629027564,HOLD,台積電
2330.TW,2024-11-07,2024-12-23,1040.476318359375,1059.184814453125,1.7980703417882296,HOLD,台積電
2330.TW,2025-01-22,2025-03-03,1113.1246337890625,1000.3411865234375,-10.13214907316457,SL,台積電
2330.TW,2025-06-04,2025-06-11,975.4446411132812,1049.3421630859375,7.575778148549419,TP,台積電
2330.TW,2025-06-27,2025-07-18,1068.6368408203125,1142.84765625,6.9444373050737624,TP,台積電
2330.TW,2025-08-27,2025-09-16,1177.4794921875,1271.5987548828125,7.993282542905222,TP,台積電
2330.TW,2025-11-26,2025-12-29,1430.548583984375,1525.0244140625,6.60416787907966,TP,台積電
2454.TW,2023-03-17,2023-04-18,627.0396728515625,558.089599609375,-10.996126118882732,SL,聯發科
2454.TW,2023-07-04,2023-08-18,628.696533203125,605.344970703125,-3.714282052905064,HOLD,聯發科
2454.TW,2023-08-24,2023-09-14,620.61328125,658.3350830078125,6.07814929159035,TP,聯發科
2454.TW,2023-10-05,2023-10-13,705.936279296875,756.2321166992188,7.124699335815309,TP,聯發科
2454.TW,2023-10-31,2023-11-08,756.2321166992188,820.8980102539062,8.5510641675653,TP,聯發科
2454.TW,2024-03-27,2024-04-19,1074.055419921875,915.482421875,-14.763949336842352,SL,聯發科
2454.TW,2024-07-08,2024-07-19,1338.1068115234375,1187.334228515625,-11.26760447741519,SL,聯發科
2454.TW,2024-10-17,2024-12-02,1201.4691162109375,1234.4505615234375,2.745093058780678,HOLD,聯發科
2454.TW,2025-02-03,2025-03-20,1443.068359375,1428.6375732421875,-1.0000071056275217,HOLD,聯發科
2454.TW,2025-03-21,2025-04-07,1423.827392578125,1245.8489990234375,-12.499997856651847,SL,聯發科
2454.TW,2025-08-13,2025-09-09,1343.947509765625,1481.2852783203125,10.218983074617121,TP,聯發科
2317.TW,2022-05-04,2022-05-30,88.75818634033203,94.3055648803711,6.249990867060242,TP,鴻海
2317.TW,2022-07-15,2022-08-11,94.23444366455078,101.4142074584961,7.619044072147692,TP,鴻海
2317.TW,2023-05-29,2023-06-13,94.68318176269531,100.96546936035156,6.635061772006735,TP,鴻海
